xx,xx,xx,xx,xx,xx,xx,xx,,,,,,,,,,,,,,,,,
Other Commission1,Fr. Ardura,Msgr. Palma,,,,,,,,,,,,,,,,,,,,,,
Other Commission,Cardinal Burke,,,,,,,,,,,,,,,,,,,,,,,
Other Commission,Cardinal Koch,Bishop Farrell,,,,,,,,,,,,,,,,,,,,,,
Other Commission,Cardinal Tauran,Fr. Guixot,,,,,,,,,,,,,,,,,,,,,,
Other Commission1,Colonel Anrig,,,,,,,,,,,,,,,,,,,,,,,
Other Commission,Cardinal Pell,Bishop Olmsted,Cardinal Gracias,Bishop Serratelli,Msgr. Moroney,,,,,,,,,,,,,,,,,,,
Other Commission,Archbishop Fisichella,,,,,,,,,,,,,,,,,,,,,,,
Other Commission1,Cardinal Grocholewski,,,,,,,,,,,,,,,,,,,,,,,
Other Commission,Bishop Corbellini,,,,,,,,,,,,,,,,,,,,,,,
Other Commission,Msgr. Wells ,Mr. Brulhart,Msgr. Camilleri,Msgr. Balda,Dr. Giani ,Prof. Picardi,,,,,,,,,,,,,,,,,,
Other Commission,Cardinal Castello,Cardinal Tauran ,Cardinal Collins,Cardinal Parolin,Cardinal Schonborn ,Cardinal Bozanic,,,,,,,,,,,,,,,,,,
Other Commission,Archbishop Mollaghan,,,,,,,,,,,,,,,,,,,,,,,
Other Commission,Mr. Barnes ,Msgr. Polvani,Msgr. Ruiz,Msgr. Tighe,Fr. Ghisani,Prof. Vian,Mr. Yeo,Ms. Frank,,,,,,,,,,,,,,,,
Institution with Holy See,Archbishop Brugues,Bishop Pagano,,,,,,,,,,,,,,,,,,,,,,
Institution with Holy See,Archbishop Brugues,Msgr. Pasini,,,,,,,,,,,,,,,,,,,,,,
Institution with Holy See,Fr. Pellini,,,,,,,,,,,,,,,,,,,,,,,
Institution with Holy See,Prof. Vian,Mr. Cicco,,,,,,,,,,,,,,,,,,,,,,
Institution with Holy See,Msgr. Scotti ,Fr. Costa,,,,,,,,,,,,,,,,,,,,,,
Institution with Holy See,Fr. Lombardi,Fr. Koprowski,,,,,,,,,,,,,,,,,,,,,,
Institution with Holy See,Archbishop Celli,Msgr. Vigano,,,,,,,,,,,,,,,,,,,,,,
Institution with Holy See,Archbishop Krajewski,,,,,,,,,,,,,,,,,,,,,,,
Institution with Holy See,Archbishop Corbellini,Dr. Bufacchi,,,,,,,,,,,,,,,,,,,,,,
Institution with Holy See,Cardinal Comastri,Bishop Lanzani,,,,,,,,,,,,,,,,,,,,,,
Institution with Holy See,Dr. Villaescusa,,,,,,,,,,,,,,,,,,,,,,,
Institution with Holy See,Archbishop Gioia,,,,,,,,,,,,,,,,,,,,,,,
Institution with Holy See,Archbishop Celli,Dr. Giovanni,,,,,,,,,,,,,,,,,,,,,,
Institution with Holy See,Msgr. Palombella,,,,,,,,,,,,,,,,,,,,,,,
Institution with Holy See,Bishop Corbellini,Mr. Brulhart,Dr. Ruzza,,,,,,,,,,,,,,,,,,,,,
Institution with Holy See,Fr. Imoda,Dr. Cinquegrani,Dr. Napoleoni,,,,,,,,,,,,,,,,,,,,,
