0,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua & Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Brazil,Brunei Darussalem,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Congo Democratic,Costa Rica,Cote dIvoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatamala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See (Vatican City),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea North,Korea South,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Phillipines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Samoa,San Marino,Sao Tome & Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts & Nevis,St. Lucia,St. Vincent & The Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Azerbaijan,0,0,1,0,0,0,20,1,105,185,0,0,0,1,0,854,26,0,0,0,1,1,0,4,0,156,0,0,0,1,0,142,0,0,0,4,4,3,0,3,0,1,0,4,0,40,82,24,0,0,4,2,0,0,0,0,8,0,0,143,85,0,0,0,6878,0,94,0,0,5,0,0,0,0,0,77,4,0,0,179,2,60,2118,204,0,13,5,950,0,0,0,7,0,0,56,0,463,3,0,1,1,0,2,1,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,66,21,0,0,0,28,0,0,0,1,0,1,0,2,95,51,0,6,39160,1,0,0,0,0,0,19,0,0,0,30,6,0,0,49,0,195,0,0,0,0,0,0,0,54,73,0,0,0,0,2,0,0,0,0,0,1243,443,0,1,7205,0,111,3148,0,446,0,2,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,77,8,0,0,0,0,20,0,2,0,0,0,4,0,0,5,0,2,0,0,0,0,0,240,0,0,0,3,2,5,0,0,0,2,0,0,0,2,2,5,0,0,24,25,2,0,0,0,0,0,0,4,18,0,0,0,14,0,16,7,0,0,0,4,1,0,0,5,2,0,1,1,0,18,6,54,206,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,35,0,0,0,0,0,0,0,0,0,0,15,34,2,0,0,5,0,0,0,10,0,0,0,2,5,8,0,1,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,31,0,26,0,0,4,0,0,0,0,10,30,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,79,4992,0,0,0,3,0,0,0,0
Bahrain,67,0,49,0,0,0,5,0,317,18,0,0,0,7072,0,0,6,0,0,0,0,0,1,4,0,5,0,0,0,10,1,642,0,2,50,2,2,3,0,0,10,0,0,0,0,42,7,33,0,0,9,0,42,0,0,42,0,2,0,6,80,0,0,0,110,0,12,0,0,0,0,0,0,0,0,7,0,0,2,20,5,48,16,49,1,4,190,23,8,0,0,4,0,125,0,0,0,126,0,1,92,0,0,0,2,0,0,2,0,0,2,6,0,0,22,0,0,0,0,0,0,0,0,0,2,50,100,0,0,0,14,36,279,0,2,0,0,0,2373,5,6,68,17,11,0,0,0,0,62,0,0,0,0,8,4,0,0,0,76,165,30,0,0,0,0,1065,1,0,39,74,46,0,0,0,44,0,0,0,0,0,16,0,0,19,0,378,51,764,0,1,0,4,393,1402,0,1
Bangladesh,67,1,229,0,1238,0,47,0,13429,1188,1,4,27333,0,4,6,624,5,0,47,23,1,33,136,632,356,1,912,5,1435,2,19844,1,3,1,55,2305,38,0,31,260,19,0,6,0,365,321,601,0,0,37,60,296,1,5,1,2,0,496,750,3025,2,0,0,3850,3,6772,0,2,2,0,7,8,0,14,280,34,577168,100,187,6,882,1296,31026,16,5089,3687,46,0,0,113,3938,0,44423,0,13,26,1604,0,172,363,0,23,34,1,39,0,95670,5074,3,20,79,16,166,1453,0,2,0,12,9,11,1,1,0,511,811,1514,0,3,1,536,13312,44196,0,59,1,6,0,478,296,708,49682,102,291,10,1,0,0,259614,9,18,0,4,22820,60,20,47,1,1808,29,6153,0,0,2,0,21,15,0,2914,1118,24,0,0,8,49986,39,2,0,10,8,684,1,0,111,5,237782,70577,93104,2,6,1,77,1134,4,2,0
Barbados,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,15,0,0,0,20,0,0,0,1,0,0,0,0,0,4,0,6,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,84,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4820,730,0,0,0,0,0,0,0,0
Belarus,15,0,18,0,0,0,10,0,54,112,230,0,0,0,0,0,162,0,0,0,0,0,0,1,0,109,0,0,0,0,0,339,0,0,0,0,0,1,0,0,0,0,0,0,0,26,1005,97,0,0,0,2,3,0,0,0,403,0,0,42,354,0,0,0,4456,0,128,0,0,0,0,0,0,0,0,42,7,0,0,4,0,88,790,3822,0,0,0,706,0,0,0,0,0,0,13,0,3668,0,0,0,0,0,1197,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,10,0,0,0,110,0,0,0,0,0,0,0,0,4725,135,0,0,30478,0,0,0,0,0,0,10,0,0,0,27,15,0,0,9,0,512,0,0,0,0,0,0,0,327,148,0,0,0,0,0,0,0,0,0,0,15,107,0,0,8799,0,18,2001,0,0,0,0,0,0,0,0
Belgium,8,2,11,0,124,0,14,0,80,159,0,2,0,104,0,0,0,0,147,0,12,192,1,1,0,53,46,0,92,35,0,78,2,11,14,2,0,18,0,6,2732,12,0,20,0,35,74,158,0,0,35,19,2,0,356,0,0,6,0,45,3105,26,4,0,3000,3,935,0,0,448,0,0,1,0,2,227,9,0,0,181,5,165,370,4286,1,3,2,22,1,0,0,0,0,0,0,0,14,52,0,52,4,0,11,914,9,2,0,0,0,16,6,0,2,0,142,0,0,0,0,20,0,0,0,0,0,590,32,0,30,21,72,0,0,0,5,0,5,0,73,516,210,1,132,3,551,0,0,0,0,2,104,0,16,0,88,32,0,0,278,92,5097,0,0,0,0,41,0,0,119,538,0,0,0,5,146,0,97,0,1,0,245,0,0,32,0,4,1657,1073,0,2,0,4,10,0,4,0
Belize,0,0,0,0,0,0,1,0,17,8,0,2,0,0,0,0,0,0,0,0,289,0,0,2,0,1,0,0,0,0,0,471,0,0,0,1,0,2,0,0,0,6,0,0,0,0,1,2,0,0,13,2,1,24,0,0,0,0,0,0,3,0,0,0,5,0,2,0,48,0,0,0,0,0,39,1,0,0,0,0,0,2,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,367,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,2,0,0,0,11,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,961,7092,0,0,0,4,0,0,0,0
Benin,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,93,0,0,0,0,49,0,8,0,0,0,0,0,363,0,0,0,0,0,0,3,4,0,0,2,0,0,0,0,0,0,0,0,0,516,892,0,0,60,699,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1751,6392,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,15,0,3,0,0,0,4,0,18,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,8386,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,0,0,0,0
Bhutan,0,0,1,0,0,0,1,0,184,22,0,0,34,82,0,0,7,0,0,0,0,0,10,5,0,2,0,0,0,1,0,580,0,0,0,3,8,1,0,0,0,1,0,0,0,2,0,10,0,0,3,0,0,0,0,0,0,0,0,3,97,0,0,0,76,2,17,0,0,0,0,0,0,0,0,2,0,2494,0,0,0,19,30,124,2,37,10,0,0,0,0,8,0,0,0,0,0,5,0,1,5,0,0,0,0,6,0,259,11,0,0,0,0,22,2,0,0,0,0,0,0,3,0,0,21528,23,59,0,0,0,9,190,934,0,4,0,0,0,10,0,19,3,0,22,0,0,0,0,52,0,0,0,1,134,0,0,0,0,97,0,17,0,0,0,0,14,0,0,20,32,0,0,0,7,0,0,0,0,0,0,2,0,0,3,0,596,318,1773,0,0,0,0,5,0,10,0
Bolivia,0,0,0,0,1,0,62508,0,138,96,0,0,0,168,0,0,1,0,0,0,0,0,0,7402,0,8,0,0,0,0,0,879,0,1,0,5198,0,196,0,0,2,34,0,0,0,4,23,112,0,0,74,498,0,0,0,0,0,0,0,35,608,1,0,0,352,0,7,0,6,3,0,0,0,0,13,22,3,0,0,0,0,9,5,3538,0,0,3,8,0,0,0,0,0,0,0,0,0,66,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,166,35,0,0,0,102,0,1,0,41,0,319,4,110,15,59,0,0,11,2,0,0,0,0,0,2,0,0,0,12,4,0,0,34,0,52768,0,0,0,0,1,0,0,776,637,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,14702,0,1,0,279,0,0,0,0
Bosnia & Herzegovina,0,2544,1,0,0,0,0,0,4094,20014,0,0,0,3,0,2,418,0,0,0,1,0,0,18,0,48,0,0,0,0,1,3776,0,1,0,4,0,2,0,1,0,0,0,76271,0,19,724,2734,0,0,1,5,7,0,0,0,0,0,0,40,1452,1,0,0,31996,0,176,0,0,1,0,0,0,0,0,554,11,0,0,0,0,188,26,5012,0,2,25,3,0,0,0,0,0,0,0,0,2,0,0,0,34,0,1,379,1296,1,0,0,0,0,18,0,0,0,4,0,0,0,0,730,0,0,0,0,0,375,80,0,0,0,1846,0,0,0,2,0,0,1,0,592,24,0,96,134,0,0,0,0,0,1,67648,0,0,0,250,13593,0,0,54,0,491,0,0,0,0,0,0,0,8053,8502,0,0,0,0,0,0,0,0,0,0,798,0,0,0,7,0,296,12858,0,0,0,7,0,0,0,0
Botswana,0,0,0,0,1,0,0,0,243,3,0,3,0,3,1,0,0,0,0,0,0,0,0,2,0,7,0,0,67,0,0,76,0,0,0,2,1,2,0,0,14,1,0,0,0,4,18,8,0,0,1,1,1,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,2,12,1,2,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,1,0,0,1,6,0,0,42,0,0,0,0,0,0,0,71,0,0,22,35,0,0,0,14,0,0,0,0,0,0,0,14,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8688,50,10,0,0,0,0,0,0,0,12,10,0,0,0,17,1,0,0,0,1,0,3,0,0,20,0,0,0,136,0,0,0,0,1,0,5,1
Brazil,0,5,54,0,2694,0,3955,0,4114,1248,0,14,2,1591,0,46,2865,0,1,0,4387,4,36,0,212,142,0,0,0,0,6,4414,125,24,0,1952,18989,712,0,96,242,58,0,40,2,65,450,858,0,0,205,1522,24,11,56,0,12,0,0,370,12345,5,0,0,14233,8,558,0,27,110,11,476,24,0,12,625,107,0,20,0,1,1223,2392,25947,0,47246,8,456,0,0,948,4,0,0,0,0,30,234,0,4,10,0,37,1818,2,16,0,12,0,0,14,126,65,2,799,0,2,0,1,3,0,0,0,0,0,3278,611,0,0,0,1126,0,0,0,237,0,10492,22,810,391,39746,4,618,238,1,0,0,2,2,34,29,0,8,0,207,46,0,0,6323,0,54653,0,0,6,0,0,1483,0,1445,12705,26,0,0,4,30,50,1,0,0,1,593,0,0,8,262,18,4564,68536,398,1,0,1993,162,0,0,0
Brunei Darussalem,0,0,68,0,0,0,1,0,5454,32,0,2,57,345,0,0,13,0,0,0,0,0,0,56,0,1,0,0,0,102,0,2441,0,0,0,1,256,3,0,0,0,0,0,0,0,11,21,50,0,0,1,3,80,0,0,0,0,0,0,30,134,0,0,0,262,0,8,0,0,0,0,0,0,0,0,7,4,7725,50,1,0,80,1,189,0,199,11,0,0,0,15,122,0,75,0,1,0,1,0,0,94,0,0,1,0,1,0,2216,0,0,1,1,0,5,2,0,0,0,0,0,0,0,0,0,0,413,647,0,0,0,66,21,2,0,3,14,0,2,221,3,5,123,0,68,0,0,0,0,650,0,0,0,0,4906,0,1,0,0,48,0,76,1,0,0,0,0,0,0,100,117,0,0,0,0,298,1,0,0,0,0,17,0,0,0,0,519,1532,3144,0,0,0,2,55,0,0,0
Bulgaria,62,0,0,0,1,0,60,0,540,2080,9,1,0,542,0,2,1998,0,1,0,2,20,0,43,0,0,0,0,0,0,0,2368,0,0,0,20,0,12,0,0,2,11,0,6,6,812,1468,394,0,0,87,26,0,0,0,0,0,0,0,159,1619,0,0,0,8926,0,11802,0,0,2,0,0,0,0,0,326,23,0,0,12,1,302,3704,7601,0,0,11,177,0,0,0,0,0,0,0,0,78,25,0,0,2,0,16,96,140,0,0,0,0,0,60,0,0,0,70,0,4,0,1,0,0,0,0,0,0,1634,111,1,0,0,280,0,2,0,17,0,0,1,266,284,675,0,2394,796,0,0,0,0,0,0,300,0,0,0,347,122,0,0,652,1,19458,0,0,0,0,4,0,1,792,554,0,0,0,0,1,0,0,0,0,0,68944,0,0,0,2,1,4178,9884,0,52,0,22,32,9,0,0
Burkina Faso,0,0,2,0,0,0,5,0,62,71,0,0,0,0,0,0,108,0,4984,0,0,0,0,11,0,7,0,0,0,0,19,555,1,61,15,1,0,2,0,74,0,0,0,0,0,1,10,47,0,0,0,3,18,0,0,0,0,0,0,18,4244,1836,1,0,1073,29790,16,0,0,146,0,0,0,0,0,2,1,0,0,0,0,22,0,5110,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,327,3,0,0,1,0,0,0,0,0,2907,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,282,6,0,7653,2898,24,0,0,0,1,0,0,1,0,2,14,0,0,205,0,0,0,8,2,3,0,0,49,0,2,2,0,0,58,1,783,0,0,0,0,0,0,0,56,312,0,0,0,0,0,0,758,0,0,0,2,0,0,0,0,0,849,1648,0,0,0,0,0,0,0,0
