0,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua & Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Brazil,Brunei Darussalem,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Congo Democratic,Costa Rica,Cote dIvoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatamala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See (Vatican City),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea North,Korea South,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Phillipines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Samoa,San Marino,Sao Tome & Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts & Nevis,St. Lucia,St. Vincent & The Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad & Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
Azerbaijan,0,0,0,0,0,0,3471537,0,3634228,3890512,0,0,0,0,0,1.03E+07,2921227,0,0,0,0,0,0,1679280,0,4711259,0,0,0,0,0,3402702,0,0,0,1539457,4239821,715042,0,1516121,0,0,0,1864578,0,5315654,6007908,2086245,0,0,910840,905559,0,0,0,0,1501943,0,0,5456607,4612124,0,0,0,9522022,0,3126145,0,0,1504197,0,0,0,0,0,3532307,992900,0,0,6553391,2355868,2719509,8240715,8696157,0,4246071,2643320,1.26E+07,0,0,0,4406643,0,0,4484706,0,3965618,1651193,0,0,0,0,860963,0,0,0,0,0,0,0,533331,0,0,0,1593237,0,0,0,0,0,0,0,0,0,0,4630206,3159015,0,0,0,2949763,0,0,0,0,0,0,0,567073,5248667,3158683,0,2003769,1.04E+07,0,0,0,0,0,0,1629715,0,0,0,3238633,1369836,0,0,2939630,0,3340751,0,0,0,0,0,0,0,3721288,3448474,0,0,0,0,1386527,0,0,0,0,0,1.38E+07,5649519,0,0,1.07E+07,0,5604842,1.45E+07,0,1.34E+07,0,1368308,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,3344005,877525,0,0,0,0,1261573,0,215140,0,0,0,331641,0,0,933674,0,296639,0,0,0,0,0,1480099,0,0,0,661826,1833162,640018,0,0,0,418209,0,0,0,496171,112204,368619,0,0,565702,1442200,460138,0,0,0,0,0,0,1188228,3997293,0,0,0,1729672,0,26952,3925897,0,0,0,240090,0,0,0,241744,325899,0,0,0,0,882091,1322801,2607209,235570,0,0,758113,0,0,0,2281446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278830,0,0,4320984,0,0,0,0,0,0,0,0,0,0,1498901,2346346,38964,0,0,618143,0,0,0,1031557,0,0,0,291363,1236770,568670,0,0,544510,0,0,0,0,0,0,0,0,0,624307,243698,0,0,0,1613279,0,1224190,0,0,3518954,0,0,0,0,1508966,2151055,0,0,0,0,0,0,0,0,0,0,1540916,0,0,0,0,0,5920027,8743058,0,0,0,516733,0,0,0,0
Bahrain,3042552,0,700758,0,0,0,1103064,0,6293913,572292,0,0,0,1.31E+07,0,0,699932,0,0,0,0,0,0,1091509,0,725024,0,0,0,731988,0,3074685,0,517780,852243,750194,1864117,378588,0,0,675812,0,0,0,0,3957200,951968,800834,0,0,421984,0,3226964,0,0,627344,0,325340,0,1035846,3763277,0,0,0,5545468,0,410876,0,0,0,0,0,0,0,0,354806,0,0,2090637,1725053,2088108,945286,2346339,2617293,0,1612545,8150623,2465599,1457874,0,0,2598188,0,6758944,0,0,0,4907812,0,0,3888970,0,0,0,342630,0,0,1793847,0,0,323552,418245,0,0,992275,0,0,0,0,0,0,0,0,0,235949,1782837,2149780,0,0,0,1406206,5218420,1.14E+07,0,182802,0,0,0,8617296,626302,636227,5576715,1584734,1385843,0,0,0,0,881998,0,0,0,0,2213722,603268,0,0,0,1558112,1918702,722716,0,0,0,0,5682253,0,0,1947616,1226977,2903288,0,0,0,5875878,0,0,0,0,0,2866042,0,0,2305473,0,1.06E+07,3173634,2.95E+07,0,0,0,705724,2086682,4558849,0,0
Bangladesh,4855718,0,3442014,0,6334532,0,5295611,0,1.46E+07,8529723,0,942502,1.81E+07,0,755917,1643099,9932204,778465,0,2825238,1928735,0,1586787,6834765,6196267,6615631,0,1.11E+07,714135,7309980,517033,1.34E+07,0,891899,0,4502928,1.97E+07,2263720,0,2652827,5363119,1796777,0,1487442,0,9653397,7337202,7332544,0,0,2262802,2908033,1.19E+07,0,636530,0,376305,0,4786316,9617321,1.29E+07,429498,0,0,1.89E+07,620286,1.25E+07,0,933319,572193,0,926880,742287,0,940655,5320214,2138072,8.39E+07,1.22E+07,4070940,2541405,6198799,8747325,2.01E+07,1041408,1.72E+07,1.95E+07,4056466,0,0,2695159,1.92E+07,0,2.81E+07,0,2056674,1952292,1.41E+07,0,4281280,6209285,0,2676701,4100525,0,2544791,0,2.43E+07,5.79E+07,1093018,2057856,2298056,1901148,5321739,8316820,0,631356,0,1687260,1187931,2415693,0,0,0,5929307,9662826,1.00E+07,0,1226338,0,9050806,3.25E+07,5.61E+07,0,3285145,0,1055417,0,8267230,8202318,6910193,2.02E+07,3869618,1.23E+07,1207416,0,0,0,7.99E+07,1029444,1189754,0,1311106,1.41E+07,2765095,1667926,6623865,0,8254465,2183643,6383265,0,0,2602132,0,3941201,1681515,0,1.45E+07,1.16E+07,3425168,0,0,2301263,1.91E+07,3686678,473140,0,1594447,1765177,1.52E+07,0,0,4130489,2711558,2.69E+07,1.64E+07,2.65E+07,610371,914260,0,4002672,1.02E+07,1031333,634388,0
Barbados,0,0,0,0,0,0,0,0,1285704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366400,0,0,0,0,0,0,0,774221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8022,0,0,0,343199,0,0,0,0,0,0,0,0,279860,0,0,0,0,0,0,4705947,0,0,0,1008116,0,0,0,0,0,0,0,0,0,0,0,809869,332965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257964,1206317,0,0,0,116554,0,0,0,0,0,0,0,0,0,192269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7016934,0,0,0,0,396051,264566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3780644,4851520,0,0,0,0,0,0,0,0
Belarus,5199542,0,3265675,0,0,0,4217829,0,6699417,6001587,8256173,0,0,0,0,0,8062206,0,0,0,0,0,0,0,0,5952623,0,0,0,0,0,7086692,0,0,0,0,0,0,0,0,0,0,0,0,0,7165881,1.07E+07,5155366,0,0,0,1240837,2676210,0,0,0,7090681,0,0,7047443,9668606,0,0,0,2.33E+07,0,6035498,0,0,0,0,0,0,0,0,5684209,3068671,0,0,3320294,0,4603616,1.16E+07,2.20E+07,0,0,0,1.14E+07,0,0,0,0,0,0,4548926,0,1.95E+07,0,0,0,0,0,2.99E+07,2012797,0,0,0,0,0,0,1125264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5392679,3365359,0,0,0,7281342,0,0,0,0,0,0,0,0,1.96E+07,5435939,0,0,3.74E+07,0,0,0,0,0,0,2541585,0,0,0,6218270,3752808,0,0,3485465,0,6213096,0,0,0,0,0,0,0,9556486,6824247,0,0,0,0,0,0,0,0,0,0,5282110,7792133,0,0,1.96E+07,0,4473593,1.40E+07,0,0,0,0,0,0,0,0
Belgium,1872494,449247,1461237,0,3842220,0,2947123,0,3429495,4564975,0,389888,0,6418782,0,0,0,0,3394305,0,2172234,3720941,0,0,0,1771494,2161547,0,2035349,1389465,0,3329745,0,1552552,1584160,1001892,0,2428003,0,2544688,3.81E+07,1999017,0,1639558,0,5341161,4783883,4388285,0,0,1674146,1831687,1325139,0,2069214,0,0,1921580,0,3925261,6.77E+07,2142785,1913003,0,3.71E+07,765456,1.85E+07,0,0,1.34E+07,0,0,0,0,388623,3891688,1067210,0,0,6802413,3492493,7149984,1.39E+07,4.50E+07,0,1861936,1402912,4194800,0,0,0,0,0,0,0,0,1103841,6862776,0,2064976,1960502,0,1207784,5117303,1562547,333929,0,0,0,2328457,643063,0,562918,0,8738089,0,0,0,0,1423318,0,0,0,0,0,2.77E+07,2752426,0,3475320,5344124,5903608,0,0,0,978867,0,660849,0,3674548,9926222,8276822,0,4369394,1374286,8433421,0,0,0,0,357939,2281897,0,3261979,0,2391446,2039734,0,0,8423913,1662843,2274759,0,0,0,0,3242698,0,0,7362680,1.31E+07,0,0,0,1663480,1.65E+07,0,2323484,0,0,0,1.82E+07,0,0,3509248,0,5796771,4.16E+07,5.05E+07,0,459086,0,1267581,2623238,0,1900190,0
Belize,0,0,0,0,0,0,0,0,697432,652167,0,225671,0,0,0,0,0,0,0,0,1401315,0,0,310276,0,0,0,0,0,0,0,7166058,0,0,0,0,0,222348,0,0,0,953272,0,0,0,0,0,243302,0,0,730013,300316,0,2186292,0,0,0,0,0,0,232684,0,0,0,489887,0,211065,0,2025374,0,0,0,0,0,1562405,0,0,0,0,0,0,169948,0,1009527,237688,0,0,0,0,0,0,0,0,0,0,0,0,461691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2870170,0,0,0,0,0,0,0,0,0,0,1960771,386299,0,0,0,244646,0,0,0,1214799,0,0,0,0,0,107438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247653,0,122444,0,0,0,0,0,0,0,308803,1500804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1488052,5128952,0,0,0,792896,0,0,0,0
Benin,0,0,0,0,0,0,0,0,2023596,1595482,0,0,0,0,0,0,2747756,0,0,0,0,0,0,0,0,970078,4632049,0,0,0,0,4121329,0,2920185,0,0,0,0,0,8822453,0,0,0,0,0,0,1775815,1757423,0,0,666226,0,0,0,0,0,0,0,0,0,8732802,6718259,0,0,5484092,1.03E+07,0,0,0,0,0,0,0,0,0,933325,0,0,0,0,0,1626354,0,5745315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2938542,0,0,0,0,0,0,0,0,0,0,0,0,3515364,0,0,0,0,0,0,0,0,0,0,0,0,3443924,0,0,9765187,1.69E+07,0,0,0,0,0,0,0,0,0,0,949916,0,0,0,0,0,0,1807771,0,0,0,0,4352041,0,1289870,0,0,0,1344772,0,2418017,0,0,0,0,0,0,0,2384550,3886198,0,0,0,0,0,0,3.56E+07,0,0,0,0,0,0,0,0,0,0,6564080,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,955560,0,0,0,4085661,2051994,0,0,323368,0,0,0,0,0,275650,660342,0,213737,0,0,0,0,0,1102057,0,0,0,431145,3008999,0,0,0,0,0,0,0,0,489971,0,283846,0,0,0,0,0,0,0,0,0,0,0,456624,561702,0,0,0,1092755,183060,178278,0,0,0,0,0,0,0,0,88874,0,1.26E+07,0,0,0,0,1613164,823877,0,2551412,1523621,0,0,0,0,2314522,0,0,0,0,0,1271922,0,0,763914,0,0,0,0,278304,0,5294831,1782927,0,0,0,0,1171857,92660,0,0,0,0,0,0,829080,0,0,5245366,256470,1539651,0,0,0,413275,4960279,2122204,0,225418,0,0,0,771793,0,0,1693519,0,998444,0,0,0,0,1310569,0,0,0,0,2787990,0,0,0,0,996971,0,179830,0,0,0,0,1302987,0,0,449526,932253,0,0,0,1328977,0,0,0,0,0,0,103778,0,0,495217,0,9942268,3332331,4530645,0,0,0,0,509984,0,1918986,0
