NAME,AGE,GENDER,NATIONALITY,SUPREMACY,POPULACE
Prof.Suchocka,68,0,10,9,5
Fr.Bonino,52,1,18,4,2
ArchbishopMarini,72,1,1,0,0
Fr.Ardura,65,1,18,4,11
Msgr.Palma,56,1,1,2,0
ColonelAnrig,41,1,20,10,5
BishopOlmsted,67,1,7,3,0
CardinalGracias,69,1,11,1,0
BishopSerratelli,70,1,7,3,0
Msgr.Moroney,61,1,7,2,0
Msgr. Wells,,,,,
BishopCorbellini,67,1,1,3,0
Mr.Brulhart,41,1,20,7,5
Dr.Giani,52,1,1,6,5
Prof.Picardi,80,1,1,9,5
CardinalCastello,78,1,6,1,0
CardinalCollins,67,1,4,1,0
CardinalSchonborn,69,1,16,1,2
CardinalBozanic,65,1,24,1,0
ArchbishopMollaghan,68,1,0,0,0
Mr.Barnes,70,1,9,7,5
Msgr.Polvani,49,1,18,2,0
Msgr.Ruiz,49,1,0,2,0
Fr.Ghisani,45,1,1,4,0
Ms.Frank,52,0,5,8,5
ArchbishopBrugues,70,1,18,0,2
BishopPagano,65,1,1,3,20
Msgr.Pasini,64,1,1,2,0
Fr.Pellini,55,1,1,4,3
Prof.Vian,62,1,1,9,5
Mr.Cicco,70,1,1,7,5
Msgr. Scotti,,,,,
Fr.Costa,68,1,1,4,3
Fr.Koprowski,74,1,10,4,1
Msgr.Vigano,52,1,12,2,0
ArchbishopKrajewski,50,1,10,0,0
ArchbishopCorbellini,67,1,1,0,0
Dr.Bufacchi,71,1,1,6,5
CardinalComastri,70,1,1,1,0
BishopLanzani,63,1,1,3,0
Dr.Villaescusa,67,1,6,6,5
ArchbishopGioia,75,1,1,0,4
Dr.Giovanni,51,1,1,6,5
Dr.Ruzza,39,1,1,6,5
Msgr.Palombella,46,1,1,2,3
Dr.Cinquegrani,43,1,1,6,5
Dr.Napoleoni,41,1,1,6,5
Fr.Imoda,77,1,1,4,1
